matchup,seed,winner,points_DNN,points_Aleatorio,turns
DNN_vs_Aleatorio,1,Aleatorio,51,55,39
DNN_vs_Aleatorio,0,DNN,69,30,39
DNN_vs_Aleatorio,2,Aleatorio,45,75,39
DNN_vs_Aleatorio,3,DNN,63,51,39
DNN_vs_Aleatorio,4,DNN,64,52,38
DNN_vs_Aleatorio,5,DNN,85,20,38
DNN_vs_Aleatorio,6,DNN,84,33,38
DNN_vs_Aleatorio,7,Aleatorio,59,61,38
DNN_vs_Aleatorio,9,Aleatorio,56,61,38
DNN_vs_Aleatorio,8,DNN,62,55,38
DNN_vs_Aleatorio,10,DNN,79,41,39
DNN_vs_Aleatorio,23,DNN,65,55,38
DNN_vs_Aleatorio,22,Aleatorio,48,61,39
DNN_vs_Aleatorio,12,DNN,86,34,39
DNN_vs_Aleatorio,24,DNN,94,26,39
DNN_vs_Aleatorio,25,Aleatorio,55,61,38
DNN_vs_Aleatorio,11,DNN,114,2,39
DNN_vs_Aleatorio,13,DNN,88,32,38
DNN_vs_Aleatorio,26,Aleatorio,46,63,39
DNN_vs_Aleatorio,27,DNN,76,42,38
DNN_vs_Aleatorio,14,Aleatorio,58,62,39
DNN_vs_Aleatorio,15,DNN,58,48,38
DNN_vs_Aleatorio,16,Aleatorio,34,86,39
DNN_vs_Aleatorio,20,Aleatorio,42,78,39
DNN_vs_Aleatorio,18,Aleatorio,57,63,38
DNN_vs_Aleatorio,17,DNN,88,25,38
DNN_vs_Aleatorio,19,DNN,99,10,38
DNN_vs_Aleatorio,21,DNN,65,52,38
DNN_vs_Aleatorio,28,DNN,118,2,39
DNN_vs_Aleatorio,31,DNN,95,14,38
DNN_vs_Aleatorio,29,Aleatorio,57,60,39
DNN_vs_Aleatorio,30,Aleatorio,38,80,39
DNN_vs_Aleatorio,32,DNN,84,26,38
DNN_vs_Aleatorio,36,DNN,60,54,38
DNN_vs_Aleatorio,34,DNN,89,25,39
DNN_vs_Aleatorio,33,DNN,78,37,39
DNN_vs_Aleatorio,39,DNN,56,53,39
DNN_vs_Aleatorio,40,DNN,66,51,39
DNN_vs_Aleatorio,41,DNN,64,56,38
DNN_vs_Aleatorio,37,DNN,80,34,39
DNN_vs_Aleatorio,35,Aleatorio,31,86,39
DNN_vs_Aleatorio,43,DNN,58,51,38
DNN_vs_Aleatorio,42,DNN,78,29,38
DNN_vs_Aleatorio,38,DNN,91,29,39
DNN_vs_Aleatorio,44,DNN,59,50,38
DNN_vs_Aleatorio,45,Aleatorio,15,101,38
DNN_vs_Aleatorio,46,Aleatorio,52,57,39
DNN_vs_Aleatorio,47,DNN,56,54,39
DNN_vs_Aleatorio,48,DNN,88,26,38
DNN_vs_Aleatorio,50,DNN,76,40,38
DNN_vs_Aleatorio,49,Aleatorio,50,57,39
DNN_vs_Aleatorio,51,DNN,79,39,38
DNN_vs_Aleatorio,53,Aleatorio,44,72,38
DNN_vs_Aleatorio,52,DNN,84,36,39
DNN_vs_Aleatorio,54,DNN,113,4,39
DNN_vs_Aleatorio,55,DNN,80,40,38
DNN_vs_Aleatorio,57,DNN,92,26,38
DNN_vs_Aleatorio,56,DNN,77,33,38
DNN_vs_Aleatorio,59,Aleatorio,15,97,39
DNN_vs_Aleatorio,60,DNN,110,7,39
DNN_vs_Aleatorio,62,DNN,76,40,39
DNN_vs_Aleatorio,61,Aleatorio,35,83,39
DNN_vs_Aleatorio,58,Aleatorio,45,75,39
DNN_vs_Aleatorio,65,DNN,85,35,39
DNN_vs_Aleatorio,66,DNN,60,58,39
DNN_vs_Aleatorio,64,Aleatorio,46,74,39
DNN_vs_Aleatorio,63,DNN,72,42,39
DNN_vs_Aleatorio,68,DNN,58,51,39
DNN_vs_Aleatorio,67,DNN,77,39,38
DNN_vs_Aleatorio,70,DNN,64,56,38
DNN_vs_Aleatorio,69,DNN,70,47,39
DNN_vs_Aleatorio,71,DNN,68,49,39
DNN_vs_Aleatorio,72,DNN,84,24,39
DNN_vs_Aleatorio,74,DNN,88,32,38
DNN_vs_Aleatorio,75,Aleatorio,50,59,38
DNN_vs_Aleatorio,73,DNN,75,40,39
DNN_vs_Aleatorio,76,DNN,60,50,38
DNN_vs_Aleatorio,77,Aleatorio,54,66,39
DNN_vs_Aleatorio,79,DNN,71,49,39
DNN_vs_Aleatorio,78,DNN,65,33,39
DNN_vs_Aleatorio,81,DNN,82,34,38
DNN_vs_Aleatorio,82,DNN,66,50,39
DNN_vs_Aleatorio,80,Aleatorio,33,77,39
DNN_vs_Aleatorio,83,DNN,67,53,39
DNN_vs_Aleatorio,85,Aleatorio,48,69,39
DNN_vs_Aleatorio,84,Aleatorio,59,61,39
DNN_vs_Aleatorio,86,DNN,70,47,38
DNN_vs_Aleatorio,87,DNN,65,44,38
DNN_vs_Aleatorio,89,Aleatorio,48,60,39
DNN_vs_Aleatorio,88,DNN,68,49,39
