matchup,seed,winner,points_DNN,points_Heuristico,turns
DNN_vs_Heuristico,1,Heuristico,56,64,38
DNN_vs_Heuristico,0,Heuristico,51,58,38
DNN_vs_Heuristico,3,DNN,64,46,39
DNN_vs_Heuristico,2,DNN,65,44,39
DNN_vs_Heuristico,4,Heuristico,31,85,39
DNN_vs_Heuristico,6,Heuristico,11,109,39
DNN_vs_Heuristico,5,Heuristico,45,73,39
DNN_vs_Heuristico,11,Heuristico,45,64,38
DNN_vs_Heuristico,8,Heuristico,29,91,38
DNN_vs_Heuristico,9,Heuristico,32,88,39
DNN_vs_Heuristico,7,Heuristico,54,66,39
DNN_vs_Heuristico,10,Heuristico,41,75,39
DNN_vs_Heuristico,12,Heuristico,40,80,39
DNN_vs_Heuristico,15,Heuristico,50,60,38
DNN_vs_Heuristico,14,Heuristico,31,86,38
DNN_vs_Heuristico,13,Heuristico,39,81,39
DNN_vs_Heuristico,16,Heuristico,54,66,39
DNN_vs_Heuristico,17,Heuristico,58,62,39
DNN_vs_Heuristico,18,DNN,91,23,38
DNN_vs_Heuristico,21,Heuristico,28,81,39
DNN_vs_Heuristico,19,Heuristico,18,87,39
DNN_vs_Heuristico,20,Heuristico,49,71,39
DNN_vs_Heuristico,22,Heuristico,36,82,38
DNN_vs_Heuristico,23,Heuristico,35,85,39
DNN_vs_Heuristico,24,Heuristico,19,91,38
DNN_vs_Heuristico,25,Heuristico,20,100,38
DNN_vs_Heuristico,26,Heuristico,38,67,39
DNN_vs_Heuristico,28,Heuristico,43,77,38
DNN_vs_Heuristico,27,Heuristico,56,62,39
DNN_vs_Heuristico,29,Heuristico,43,77,38
DNN_vs_Heuristico,32,Heuristico,20,100,39
DNN_vs_Heuristico,33,Heuristico,32,78,39
DNN_vs_Heuristico,31,Heuristico,56,64,39
DNN_vs_Heuristico,34,Heuristico,51,55,39
DNN_vs_Heuristico,30,Heuristico,33,87,39
DNN_vs_Heuristico,35,Heuristico,24,92,39
DNN_vs_Heuristico,37,Heuristico,26,94,39
DNN_vs_Heuristico,36,Heuristico,42,75,39
DNN_vs_Heuristico,38,Heuristico,45,75,39
DNN_vs_Heuristico,40,Heuristico,31,89,39
DNN_vs_Heuristico,39,Heuristico,15,94,39
DNN_vs_Heuristico,41,Heuristico,56,64,39
DNN_vs_Heuristico,42,Heuristico,45,65,39
DNN_vs_Heuristico,43,Heuristico,48,68,38
DNN_vs_Heuristico,44,Heuristico,27,93,38
DNN_vs_Heuristico,45,Heuristico,50,68,38
DNN_vs_Heuristico,46,Heuristico,39,60,38
DNN_vs_Heuristico,47,Heuristico,34,86,38
DNN_vs_Heuristico,48,Heuristico,48,72,38
DNN_vs_Heuristico,51,DNN,65,55,39
DNN_vs_Heuristico,50,Heuristico,41,75,38
DNN_vs_Heuristico,49,DNN,82,34,38
DNN_vs_Heuristico,55,Heuristico,52,68,39
DNN_vs_Heuristico,54,Heuristico,33,84,39
DNN_vs_Heuristico,52,Heuristico,52,65,38
DNN_vs_Heuristico,53,Heuristico,39,71,38
DNN_vs_Heuristico,58,Heuristico,33,77,39
DNN_vs_Heuristico,56,Heuristico,21,99,38
DNN_vs_Heuristico,59,Heuristico,41,75,39
DNN_vs_Heuristico,57,Heuristico,29,84,39
DNN_vs_Heuristico,60,Heuristico,29,91,39
DNN_vs_Heuristico,61,Heuristico,19,95,39
DNN_vs_Heuristico,62,Heuristico,39,77,39
DNN_vs_Heuristico,63,Heuristico,41,68,39
DNN_vs_Heuristico,65,Heuristico,54,63,39
DNN_vs_Heuristico,64,Heuristico,48,72,39
DNN_vs_Heuristico,67,Heuristico,55,65,38
DNN_vs_Heuristico,66,DNN,87,33,39
DNN_vs_Heuristico,68,Heuristico,42,78,38
DNN_vs_Heuristico,69,Heuristico,21,92,38
DNN_vs_Heuristico,70,Heuristico,24,93,38
DNN_vs_Heuristico,73,Heuristico,43,77,39
DNN_vs_Heuristico,71,Heuristico,30,79,39
DNN_vs_Heuristico,72,Heuristico,29,85,39
DNN_vs_Heuristico,78,Heuristico,47,73,38
DNN_vs_Heuristico,75,Heuristico,9,109,38
DNN_vs_Heuristico,74,DNN,77,43,39
DNN_vs_Heuristico,76,Heuristico,49,71,39
DNN_vs_Heuristico,81,Heuristico,38,82,39
DNN_vs_Heuristico,77,Heuristico,27,93,39
DNN_vs_Heuristico,79,DNN,67,51,39
DNN_vs_Heuristico,83,Heuristico,43,77,38
DNN_vs_Heuristico,80,Heuristico,49,71,38
DNN_vs_Heuristico,82,Heuristico,31,89,38
DNN_vs_Heuristico,84,Heuristico,23,97,39
DNN_vs_Heuristico,86,Heuristico,55,61,38
DNN_vs_Heuristico,85,Heuristico,35,81,39
DNN_vs_Heuristico,87,DNN,58,51,39
DNN_vs_Heuristico,88,Heuristico,29,88,38
DNN_vs_Heuristico,89,Heuristico,51,65,39
DNN_vs_Heuristico,90,Heuristico,27,90,39
DNN_vs_Heuristico,91,Heuristico,3,117,39
DNN_vs_Heuristico,92,Heuristico,53,65,39
DNN_vs_Heuristico,94,DNN,52,47,39
DNN_vs_Heuristico,93,Heuristico,53,63,38
DNN_vs_Heuristico,98,DNN,66,54,39
DNN_vs_Heuristico,95,Heuristico,25,95,38
DNN_vs_Heuristico,96,Heuristico,44,76,38
DNN_vs_Heuristico,99,Heuristico,55,65,38
DNN_vs_Heuristico,97,Heuristico,38,79,39
DNN_vs_Heuristico,100,Heuristico,35,74,39
DNN_vs_Heuristico,105,DNN,69,51,38
DNN_vs_Heuristico,101,Heuristico,59,61,39
DNN_vs_Heuristico,104,Heuristico,55,65,39
DNN_vs_Heuristico,102,Heuristico,25,91,38
DNN_vs_Heuristico,103,Heuristico,56,64,38
DNN_vs_Heuristico,106,Heuristico,41,68,38
DNN_vs_Heuristico,108,Heuristico,7,109,38
DNN_vs_Heuristico,107,Heuristico,33,75,38
DNN_vs_Heuristico,109,Heuristico,21,97,39
DNN_vs_Heuristico,110,Heuristico,46,74,39
DNN_vs_Heuristico,112,Heuristico,37,73,39
DNN_vs_Heuristico,111,Heuristico,52,64,38
DNN_vs_Heuristico,113,Heuristico,8,102,39
DNN_vs_Heuristico,115,Heuristico,47,73,38
DNN_vs_Heuristico,116,Heuristico,17,99,38
DNN_vs_Heuristico,114,Heuristico,43,77,38
DNN_vs_Heuristico,118,DNN,82,28,38
DNN_vs_Heuristico,117,Heuristico,35,85,38
DNN_vs_Heuristico,119,DNN,85,20,39
DNN_vs_Heuristico,120,DNN,83,34,38
DNN_vs_Heuristico,122,DNN,73,36,38
DNN_vs_Heuristico,121,Heuristico,42,72,39
DNN_vs_Heuristico,125,DNN,67,43,39
DNN_vs_Heuristico,127,Heuristico,24,96,38
DNN_vs_Heuristico,124,Heuristico,38,72,38
DNN_vs_Heuristico,123,Heuristico,31,86,39
DNN_vs_Heuristico,128,Heuristico,37,83,38
DNN_vs_Heuristico,126,DNN,56,50,39
DNN_vs_Heuristico,130,DNN,74,46,39
DNN_vs_Heuristico,129,Heuristico,34,82,39
DNN_vs_Heuristico,131,DNN,69,40,38
DNN_vs_Heuristico,132,Heuristico,28,90,38
DNN_vs_Heuristico,134,Heuristico,33,83,39
DNN_vs_Heuristico,133,Heuristico,38,82,39
DNN_vs_Heuristico,136,Heuristico,24,96,39
DNN_vs_Heuristico,135,Heuristico,23,95,38
DNN_vs_Heuristico,138,Heuristico,23,97,39
DNN_vs_Heuristico,137,DNN,73,41,39
DNN_vs_Heuristico,139,Heuristico,25,85,39
DNN_vs_Heuristico,140,Heuristico,50,70,39
DNN_vs_Heuristico,142,Heuristico,22,98,39
DNN_vs_Heuristico,141,Heuristico,48,62,39
DNN_vs_Heuristico,143,Heuristico,54,59,39
DNN_vs_Heuristico,144,Heuristico,58,62,38
DNN_vs_Heuristico,146,Heuristico,48,61,38
DNN_vs_Heuristico,145,Heuristico,26,90,38
DNN_vs_Heuristico,149,Heuristico,51,67,39
DNN_vs_Heuristico,148,Heuristico,15,105,38
DNN_vs_Heuristico,147,Heuristico,10,100,38
DNN_vs_Heuristico,151,Heuristico,34,82,38
DNN_vs_Heuristico,150,Heuristico,36,82,39
DNN_vs_Heuristico,152,Heuristico,23,94,38
DNN_vs_Heuristico,153,Heuristico,48,59,39
DNN_vs_Heuristico,154,Heuristico,30,88,39
DNN_vs_Heuristico,155,Heuristico,43,74,38
DNN_vs_Heuristico,156,Heuristico,42,75,38
DNN_vs_Heuristico,157,Heuristico,37,83,38
DNN_vs_Heuristico,158,Heuristico,33,87,38
DNN_vs_Heuristico,159,Heuristico,43,70,39
DNN_vs_Heuristico,160,Heuristico,23,97,39
DNN_vs_Heuristico,161,DNN,64,56,39
DNN_vs_Heuristico,162,DNN,63,57,39
DNN_vs_Heuristico,165,Heuristico,58,59,38
DNN_vs_Heuristico,164,Heuristico,28,81,38
DNN_vs_Heuristico,167,Heuristico,32,88,38
DNN_vs_Heuristico,163,Heuristico,60,60,39
DNN_vs_Heuristico,168,Heuristico,54,63,38
DNN_vs_Heuristico,170,Heuristico,50,59,39
DNN_vs_Heuristico,166,Heuristico,45,75,39
DNN_vs_Heuristico,171,Heuristico,51,66,38
DNN_vs_Heuristico,172,Heuristico,38,71,39
DNN_vs_Heuristico,169,Heuristico,58,62,39
DNN_vs_Heuristico,173,DNN,87,33,38
DNN_vs_Heuristico,174,Heuristico,35,83,38
DNN_vs_Heuristico,175,Heuristico,49,71,38
DNN_vs_Heuristico,176,DNN,62,56,38
DNN_vs_Heuristico,179,Heuristico,33,67,38
DNN_vs_Heuristico,177,Heuristico,34,84,39
DNN_vs_Heuristico,178,DNN,66,44,39
DNN_vs_Heuristico,181,Heuristico,46,74,38
DNN_vs_Heuristico,180,Heuristico,39,75,39
DNN_vs_Heuristico,182,Heuristico,50,70,38
DNN_vs_Heuristico,184,Heuristico,11,98,38
DNN_vs_Heuristico,183,DNN,65,49,39
DNN_vs_Heuristico,185,DNN,55,54,39
DNN_vs_Heuristico,187,Heuristico,57,61,39
DNN_vs_Heuristico,186,Heuristico,30,78,39
DNN_vs_Heuristico,189,Heuristico,39,81,39
DNN_vs_Heuristico,190,Heuristico,43,77,39
DNN_vs_Heuristico,188,Heuristico,49,71,39
DNN_vs_Heuristico,191,DNN,59,56,38
DNN_vs_Heuristico,192,Heuristico,34,86,39
DNN_vs_Heuristico,193,Heuristico,12,108,38
DNN_vs_Heuristico,194,DNN,76,42,39
DNN_vs_Heuristico,196,DNN,67,53,38
DNN_vs_Heuristico,195,Heuristico,58,62,38
DNN_vs_Heuristico,197,Heuristico,52,62,38
DNN_vs_Heuristico,198,Heuristico,33,87,39
DNN_vs_Heuristico,199,Heuristico,43,77,38
DNN_vs_Heuristico,200,Heuristico,48,66,39
DNN_vs_Heuristico,201,DNN,80,30,39
DNN_vs_Heuristico,203,Heuristico,23,97,38
DNN_vs_Heuristico,202,Heuristico,25,95,39
DNN_vs_Heuristico,205,Heuristico,28,92,38
DNN_vs_Heuristico,209,Heuristico,18,102,39
DNN_vs_Heuristico,204,Heuristico,16,101,39
DNN_vs_Heuristico,208,DNN,73,43,39
DNN_vs_Heuristico,206,Heuristico,55,62,39
DNN_vs_Heuristico,207,Heuristico,53,64,39
DNN_vs_Heuristico,212,Heuristico,26,90,38
DNN_vs_Heuristico,211,Heuristico,37,83,39
DNN_vs_Heuristico,213,Heuristico,11,107,39
DNN_vs_Heuristico,215,Heuristico,58,59,39
DNN_vs_Heuristico,216,Heuristico,53,67,39
DNN_vs_Heuristico,214,Heuristico,27,93,38
DNN_vs_Heuristico,210,DNN,63,57,39
DNN_vs_Heuristico,218,Heuristico,35,81,39
DNN_vs_Heuristico,217,DNN,56,54,39
DNN_vs_Heuristico,219,DNN,59,59,38
DNN_vs_Heuristico,220,DNN,62,48,38
DNN_vs_Heuristico,221,DNN,60,53,39
DNN_vs_Heuristico,222,Heuristico,37,78,38
DNN_vs_Heuristico,223,Heuristico,20,96,39
DNN_vs_Heuristico,228,Heuristico,53,67,38
DNN_vs_Heuristico,227,Heuristico,16,102,38
DNN_vs_Heuristico,224,Heuristico,59,59,39
DNN_vs_Heuristico,226,Heuristico,59,61,39
DNN_vs_Heuristico,229,DNN,88,29,39
DNN_vs_Heuristico,225,Heuristico,41,69,39
DNN_vs_Heuristico,230,DNN,72,48,38
DNN_vs_Heuristico,231,Heuristico,51,66,38
DNN_vs_Heuristico,236,Heuristico,46,74,38
DNN_vs_Heuristico,235,Heuristico,22,88,39
DNN_vs_Heuristico,234,Heuristico,17,93,39
DNN_vs_Heuristico,233,Heuristico,46,74,39
DNN_vs_Heuristico,238,Heuristico,50,57,39
DNN_vs_Heuristico,232,Heuristico,37,83,38
DNN_vs_Heuristico,239,DNN,91,29,39
DNN_vs_Heuristico,240,Heuristico,22,98,38
DNN_vs_Heuristico,237,Heuristico,48,72,39
DNN_vs_Heuristico,241,Heuristico,56,62,39
DNN_vs_Heuristico,242,DNN,76,44,39
DNN_vs_Heuristico,243,DNN,59,57,39
DNN_vs_Heuristico,244,Heuristico,42,75,38
DNN_vs_Heuristico,245,Heuristico,39,71,38
DNN_vs_Heuristico,247,Heuristico,35,74,38
DNN_vs_Heuristico,248,Heuristico,48,72,39
DNN_vs_Heuristico,250,DNN,64,56,38
DNN_vs_Heuristico,251,DNN,78,42,39
DNN_vs_Heuristico,246,Heuristico,37,80,39
DNN_vs_Heuristico,249,Heuristico,51,69,39
DNN_vs_Heuristico,253,Heuristico,34,71,39
DNN_vs_Heuristico,254,Heuristico,49,71,39
DNN_vs_Heuristico,252,Heuristico,53,64,39
DNN_vs_Heuristico,255,Heuristico,58,59,38
DNN_vs_Heuristico,256,Heuristico,28,88,39
DNN_vs_Heuristico,258,Heuristico,12,106,38
DNN_vs_Heuristico,257,DNN,71,46,39
DNN_vs_Heuristico,259,Heuristico,51,69,38
DNN_vs_Heuristico,260,DNN,63,54,39
DNN_vs_Heuristico,261,Heuristico,48,70,39
DNN_vs_Heuristico,262,Heuristico,37,83,38
DNN_vs_Heuristico,263,Heuristico,36,84,39
DNN_vs_Heuristico,265,DNN,65,35,38
DNN_vs_Heuristico,264,Heuristico,49,71,38
DNN_vs_Heuristico,266,DNN,79,41,39
DNN_vs_Heuristico,267,Heuristico,46,71,38
DNN_vs_Heuristico,268,Heuristico,43,73,39
DNN_vs_Heuristico,270,Heuristico,42,74,39
DNN_vs_Heuristico,269,Heuristico,59,61,38
DNN_vs_Heuristico,274,Heuristico,24,96,38
DNN_vs_Heuristico,271,Heuristico,39,81,38
DNN_vs_Heuristico,272,DNN,75,45,39
DNN_vs_Heuristico,273,Heuristico,41,75,39
DNN_vs_Heuristico,275,Heuristico,51,69,39
DNN_vs_Heuristico,277,Heuristico,55,62,38
DNN_vs_Heuristico,278,Heuristico,40,77,39
DNN_vs_Heuristico,279,Heuristico,45,75,38
DNN_vs_Heuristico,280,Heuristico,18,99,38
DNN_vs_Heuristico,276,Heuristico,52,68,39
DNN_vs_Heuristico,283,Heuristico,15,103,39
DNN_vs_Heuristico,282,DNN,61,57,38
