matchup,seed,winner,points_DNN,points_MCTS,turns
DNN_vs_MCTS,0,MCTS,29,91,39
DNN_vs_MCTS,1,MCTS,31,78,38
DNN_vs_MCTS,2,MCTS,15,100,39
DNN_vs_MCTS,3,MCTS,53,63,39
DNN_vs_MCTS,7,MCTS,21,92,38
DNN_vs_MCTS,4,MCTS,25,91,39
DNN_vs_MCTS,10,MCTS,27,93,39
DNN_vs_MCTS,5,DNN,64,56,38
DNN_vs_MCTS,8,MCTS,32,86,39
DNN_vs_MCTS,9,DNN,72,46,39
DNN_vs_MCTS,11,DNN,60,60,39
DNN_vs_MCTS,12,MCTS,39,81,39
DNN_vs_MCTS,6,MCTS,20,100,39
DNN_vs_MCTS,13,DNN,76,44,39
DNN_vs_MCTS,16,MCTS,40,67,38
DNN_vs_MCTS,20,MCTS,43,77,38
DNN_vs_MCTS,14,MCTS,33,87,38
DNN_vs_MCTS,21,MCTS,13,104,39
DNN_vs_MCTS,18,MCTS,19,101,39
DNN_vs_MCTS,19,MCTS,26,94,39
DNN_vs_MCTS,17,MCTS,23,95,38
DNN_vs_MCTS,15,MCTS,17,93,39
DNN_vs_MCTS,22,MCTS,4,105,39
DNN_vs_MCTS,24,DNN,62,58,39
DNN_vs_MCTS,23,DNN,68,52,38
DNN_vs_MCTS,25,MCTS,12,104,38
DNN_vs_MCTS,27,DNN,67,42,39
DNN_vs_MCTS,28,DNN,61,48,38
DNN_vs_MCTS,31,MCTS,46,63,39
DNN_vs_MCTS,30,MCTS,43,74,39
DNN_vs_MCTS,32,MCTS,20,100,39
DNN_vs_MCTS,26,MCTS,42,78,39
DNN_vs_MCTS,29,MCTS,21,99,39
DNN_vs_MCTS,34,MCTS,28,89,39
DNN_vs_MCTS,36,MCTS,41,79,39
DNN_vs_MCTS,40,MCTS,49,71,39
DNN_vs_MCTS,42,DNN,70,37,39
DNN_vs_MCTS,41,MCTS,33,73,38
DNN_vs_MCTS,39,MCTS,18,98,39
DNN_vs_MCTS,38,MCTS,32,77,39
DNN_vs_MCTS,33,MCTS,9,111,38
DNN_vs_MCTS,37,MCTS,57,61,39
DNN_vs_MCTS,35,MCTS,36,81,39
DNN_vs_MCTS,43,MCTS,49,60,38
DNN_vs_MCTS,44,DNN,60,60,38
DNN_vs_MCTS,45,DNN,68,48,38
DNN_vs_MCTS,46,DNN,68,46,38
DNN_vs_MCTS,47,MCTS,58,62,39
DNN_vs_MCTS,50,MCTS,5,105,39
DNN_vs_MCTS,49,MCTS,38,82,38
DNN_vs_MCTS,52,MCTS,38,82,39
DNN_vs_MCTS,55,MCTS,42,63,38
DNN_vs_MCTS,48,MCTS,10,110,39
DNN_vs_MCTS,51,MCTS,48,70,39
DNN_vs_MCTS,53,MCTS,44,76,38
DNN_vs_MCTS,56,DNN,99,16,39
DNN_vs_MCTS,54,MCTS,41,75,39
DNN_vs_MCTS,58,MCTS,43,73,39
DNN_vs_MCTS,57,MCTS,23,94,39
DNN_vs_MCTS,60,MCTS,51,67,39
DNN_vs_MCTS,59,MCTS,26,87,39
DNN_vs_MCTS,61,MCTS,37,80,38
DNN_vs_MCTS,63,MCTS,43,67,39
DNN_vs_MCTS,62,MCTS,37,76,38
DNN_vs_MCTS,65,MCTS,46,64,39
DNN_vs_MCTS,64,MCTS,19,97,38
DNN_vs_MCTS,68,MCTS,38,82,39
DNN_vs_MCTS,66,MCTS,47,63,39
