c,iteraciones,victory_rate,mcts_pts_mean,mcts_pts_std,rand_pts_mean,rand_pts_std,dur_mean_s,dur_std_s
0.5,100,96.0,85.92,15.44,29.52,14.836765146082215,0.5347925999999279,0.06520612914395903
0.5,500,92.0,83.94,19.874013183048863,30.98,17.87343279843019,1.2095321060002606,0.19717875497984316
0.5,1000,98.0,86.82,14.522658158890884,28.88,13.899122274445968,1.4406546180000441,0.10675673635153261
1.0,100,90.0,84.3,17.62980430974774,31.62,16.761730220952728,0.5357095599995955,0.037972662865408346
1.0,500,98.0,84.2,12.84678948220138,31.1,13.609188072769074,1.3531471360002616,0.191337622276694
1.0,1000,92.0,86.24,16.687192693799638,29.54,17.08708284055532,1.7544925379998313,0.2512358602167449
1.4,100,84.0,80.18,20.375171164925217,36.52,19.37445741175737,1.25001041000025,0.4375523803350504
1.4,500,90.0,84.98,17.86895632094947,31.16,18.292468395489987,1.1348572839995905,0.18090415545075705
1.4,1000,92.0,85.36,17.67570083476183,29.66,17.171616114972988,1.8803155960001459,0.380121152163176
2.0,100,90.0,85.4,18.24938355123263,30.16,17.872168307175265,0.6407432860002155,0.06639142488576284
2.0,500,88.0,84.12,20.43295377570262,31.92,19.659949135234303,1.4290864799996053,0.25435668869720535
2.0,1000,94.0,86.86,17.078653342696548,29.58,17.064688687462187,2.065508982000174,0.4506564650683368
