c,iteraciones,seed,duration,P_MCTS,P_Rand,victory
0.5,100,194,0.8884085000026971,97,12,1
0.5,100,193,0.8961600999973598,70,47,1
0.5,100,195,0.8833038000011584,99,11,1
0.5,100,192,0.9400454999995418,79,30,1
0.5,100,196,0.9619516999991902,78,40,1
0.5,100,199,0.8775925999980245,84,36,1
0.5,100,197,0.9870684999987134,91,24,1
0.5,100,198,0.9538347000016074,97,19,1
0.5,100,201,0.9832157000018924,117,3,1
0.5,100,203,0.9558047999998962,65,55,1
0.5,100,202,0.9766026999968744,55,60,0
0.5,100,200,1.194496000000072,93,16,1
0.5,100,204,0.9616765999999188,101,16,1
0.5,100,205,0.976945300000807,103,17,1
0.5,100,208,0.8979574000004504,57,60,0
0.5,100,209,0.9592705000031856,30,80,0
0.5,100,210,0.9259118000009039,99,21,1
0.5,100,212,0.8582461000005424,58,49,1
0.5,100,207,1.086534499998379,95,14,1
0.5,100,214,0.8449385999992955,93,24,1
0.5,100,213,0.9607787999993889,96,24,1
0.5,100,216,0.8810381000002963,78,32,1
0.5,100,215,0.9451460999989649,74,43,1
0.5,100,206,1.3638305000022228,91,15,1
0.5,100,218,0.9242578000012145,90,28,1
0.5,100,219,0.9374105999995663,106,14,1
0.5,100,211,1.2122243000012531,107,11,1
0.5,100,221,0.9345810999984678,103,13,1
0.5,100,220,0.999558600000455,106,14,1
0.5,100,222,0.8787164999994275,84,36,1
0.5,100,223,0.8950694000013755,83,24,1
0.5,100,217,1.3290672000002814,100,20,1
0.5,100,226,0.9580395000011777,80,40,1
0.5,100,227,0.9233153000022867,59,59,0
0.5,100,224,1.0689587999986543,55,43,1
0.5,100,231,0.9114193000023079,82,38,1
0.5,100,233,0.9856857999984641,83,37,1
0.5,100,225,1.302856199999951,90,19,1
0.5,100,229,1.0403403000018443,46,74,0
0.5,100,228,1.1900857000000542,86,30,1
0.5,100,232,1.0556906000019808,88,27,1
0.5,100,235,0.9295718999965175,86,31,1
0.5,100,234,1.0298055999992357,87,33,1
0.5,100,236,0.9169532000014442,93,24,1
0.5,100,230,1.2530552999996871,111,5,1
0.5,100,239,1.0052322000010463,97,12,1
0.5,100,237,1.1177377000021806,94,16,1
0.5,100,238,1.1792077999998583,70,50,1
0.5,100,241,1.0878330999985337,64,43,1
0.5,100,240,1.159371599998849,99,21,1
0.5,500,594,1.762665799997194,110,10,1
0.5,500,592,2.223021699999663,58,60,0
0.5,500,595,2.046388900002057,79,39,1
0.5,500,600,1.7864680999991833,92,18,1
0.5,500,593,2.417465999998967,104,10,1
0.5,500,599,2.1990747999989253,94,24,1
0.5,500,597,2.4702118999994127,89,31,1
0.5,500,605,2.065406300000177,36,74,0
0.5,500,598,2.4582370999996783,101,15,1
0.5,500,609,2.1042130000023462,80,40,1
0.5,500,601,2.405013700001291,108,2,1
0.5,500,608,2.2116792000015266,88,30,1
0.5,500,607,2.3230094999998983,118,2,1
