Partida,Ganador,Dur,P_MCTS,P_Heuristico,P_Rand
7,Heuristico,1.3489871000001585,40,41,28
6,MCTS,1.3927730999998857,60,15,45
5,Heuristico,1.4345900000002985,35,70,15
2,Heuristico,1.5892029999999977,5,83,21
10,MCTS,1.4124124999998457,94,4,22
4,Rand,1.4937182000003304,10,53,55
8,MCTS,1.5437071999999716,52,49,19
9,MCTS,1.553771500000039,42,36,39
3,MCTS,1.681092400000125,88,3,27
1,MCTS,1.730158400000164,52,37,21
11,MCTS,1.638313399999788,62,42,16
12,MCTS,1.354325699999663,63,3,54
14,Heuristico,1.3584015999999792,40,48,29
19,MCTS,1.3502204999999776,56,25,29
17,Heuristico,1.4782123999998475,24,73,21
18,MCTS,1.4128709999999955,104,0,6
21,MCTS,1.381536800000049,79,25,16
13,MCTS,1.614849900000081,65,5,50
20,MCTS,1.661555700000008,59,23,34
15,MCTS,1.9072089000001142,50,42,18
22,MCTS,1.7057916000003388,58,34,28
16,MCTS,2.3770244999996066,75,0,45
23,Rand,1.2643088999998326,33,40,47
24,Rand,1.4255897000002733,33,33,54
28,MCTS,1.308893700000226,46,37,37
26,MCTS,1.353320000000167,52,24,44
29,MCTS,1.3604688000000351,73,23,21
30,MCTS,1.3885349999995924,77,15,17
27,MCTS,1.535914000000048,60,32,17
34,Rand,1.323433600000044,36,15,69
37,Heuristico,1.3271951000001536,19,59,32
38,Heuristico,1.2998462999998992,34,67,8
33,MCTS,1.9171368000002076,55,42,19
32,MCTS,2.267179500000111,98,18,4
40,Heuristico,1.3844615999996677,28,53,37
44,MCTS,1.2127133000003596,57,21,42
42,MCTS,1.4554610000000139,59,6,44
41,MCTS,1.6044652000000497,75,33,8
43,MCTS,1.5740052000001015,54,28,38
49,Rand,1.412139600000046,19,38,52
45,Rand,2.1483407999999145,35,33,50
50,Heuristico,1.669013900000209,28,52,29
51,Rand,1.7119452999995701,41,32,47
31,MCTS,4.193467399999918,76,17,27
55,MCTS,1.8608470999997735,54,13,53
54,MCTS,2.1670586000000185,63,11,46
53,Heuristico,2.4219794000000547,48,72,0
56,Rand,2.8302319999997962,22,16,80
25,Heuristico,5.955638700000236,21,84,15
62,MCTS,2.1953051999998934,73,14,33
52,MCTS,3.563329899999644,75,18,27
59,MCTS,3.0373445000000174,65,38,17
63,MCTS,2.234673500000099,82,10,28
58,MCTS,3.2472499000000425,44,43,33
61,MCTS,2.991003499999806,81,4,24
64,Heuristico,2.2715453999999227,24,63,22
68,MCTS,2.025596399999813,54,28,35
69,MCTS,2.2708238999998684,58,50,12
66,MCTS,2.7798627000001943,72,9,39
74,Rand,2.3341245999999956,36,18,55
75,MCTS,2.2778172000002996,39,36,34
78,Rand,2.1707158999997773,46,19,55
77,Heuristico,2.2484370999995917,42,58,20
70,MCTS,2.8838019999998323,102,13,5
