Partida,Ganador,Dur,P_MCTS,P_Heuristico,P_Rand
4,MCTS,1.299590999999964,48,28,44
3,MCTS,1.4563739000000169,41,40,39
1,Heuristico,1.5476324000001114,46,56,18
5,MCTS,1.442707000000155,65,37,7
10,Heuristico,1.4144965000000411,25,59,26
2,MCTS,1.674784599999839,61,21,34
6,Rand,1.580441200000223,36,27,57
11,MCTS,1.4890215999998873,72,28,20
8,MCTS,1.6831381000001784,52,39,25
7,Rand,1.7448865000001206,34,28,54
9,MCTS,1.7792590999997628,41,40,39
12,Heuristico,1.5544211999999789,38,53,27
13,MCTS,1.445448099999794,56,39,25
14,MCTS,1.5414945000002263,66,14,40
16,MCTS,1.4329628000000412,92,0,28
15,Heuristico,1.4650636999999733,27,54,39
17,MCTS,1.4919279999999162,77,3,40
20,Rand,1.3165489000002708,43,22,45
22,Heuristico,1.2148616999998012,32,77,11
19,Rand,1.3300490999999965,4,42,74
21,Heuristico,1.276096300000063,50,61,9
18,MCTS,2.0890564000001177,82,38,0
25,Heuristico,1.2120562000000064,48,57,11
24,MCTS,1.4298625999999786,57,9,52
27,Heuristico,1.317661699999917,30,45,35
32,Rand,1.26172570000017,32,20,66
33,MCTS,1.267207700000199,53,30,37
23,Rand,1.8660123999998177,24,23,70
29,Rand,1.3655994000000646,45,30,45
30,MCTS,1.3939825000002202,60,60,0
31,Heuristico,1.4718403000001672,40,52,17
28,MCTS,1.6494669999997313,50,40,30
26,MCTS,1.6621000000000095,56,43,21
34,MCTS,1.779588099999728,58,24,27
36,Rand,1.4760776999996779,42,36,42
37,MCTS,1.33728820000033,82,27,11
41,Heuristico,1.2432180000000699,29,62,27
38,Heuristico,1.500736400000278,40,67,13
42,Heuristico,1.5024038000001383,20,62,38
39,MCTS,1.6196829000000434,79,5,36
44,MCTS,1.5027095000000372,66,36,15
50,MCTS,1.3769396999996388,44,38,38
47,MCTS,1.616506599999866,49,25,42
49,MCTS,1.7015636999999515,55,23,42
45,MCTS,1.824301000000105,59,25,26
54,MCTS,1.6132988999997906,50,38,28
55,MCTS,1.594023499999821,75,38,4
35,Heuristico,3.572659900000417,37,44,39
40,Heuristico,2.719298600000002,19,60,37
59,MCTS,1.5326627999997982,71,42,7
63,Heuristico,1.4968518000000586,35,62,23
61,Rand,1.5556449999999131,32,36,52
62,MCTS,1.5652742000002036,93,21,6
60,MCTS,1.859629799999766,55,30,35
65,MCTS,1.5263751999996202,53,38,29
64,Heuristico,1.7436403999995491,0,94,24
67,Heuristico,1.614471500000036,43,60,17
43,MCTS,3.634213499999987,41,33,36
48,Rand,3.640529400000105,28,21,68
46,Heuristico,3.6869833000000654,18,57,41
69,Heuristico,1.3091350999998213,32,47,41
66,MCTS,2.063042000000223,89,15,16
68,MCTS,1.6658440999999584,56,38,23
72,MCTS,1.4883119999999508,60,36,24
75,Heuristico,1.53966279999986,40,61,19
73,MCTS,1.5808423000003131,66,39,15
74,MCTS,1.5964208000000326,71,30,16
77,MCTS,1.3872293999997964,53,51,16
76,Rand,1.6744856999998774,46,13,51
78,Heuristico,1.5216042000001835,36,74,10
79,Heuristico,1.3681852999998227,30,56,24
52,Heuristico,4.3329555999998774,32,50,36
57,Heuristico,4.151938299999983,51,54,15
84,Rand,1.272870199999943,19,39,62
85,Rand,1.5182457999999315,32,39,49
83,MCTS,1.7713474000001952,52,28,30
86,Heuristico,1.5583695000000262,12,54,54
56,MCTS,4.920160300000134,55,53,12
88,MCTS,1.3902714999999262,47,19,43
91,Heuristico,1.3401084000001902,2,78,30
87,MCTS,1.6111323000000084,55,35,27
89,MCTS,1.5892685999997411,61,24,25
92,Heuristico,1.4481557999997676,20,56,44
93,MCTS,1.538364300000012,60,21,39
96,Heuristico,1.6192163999999138,11,80,29
90,MCTS,2.2725953000003756,57,53,10
